year,province,population,area_of_land,population_density,wetlands_area,pdrb_per_capita,farmer_over_population,farmer_organization_rate,farmers_totrade,ldi_dominance,msg_basket_ssr,soybean_yield_gap,broiler_yield_gap,layer_yield_gap,paddy_yield_gap,temperature,humidity,rainfall_per_area,rainfall_optimal_gap,temperature_optimal_gap,commodity_basket_index,price_to_ssr,cluster,investment_priority
2022,Kalimantan Timur,3803500.0,129066.64,29.46927261761831,46640,62.815038780070985,0.0709562245300381,0.0401842286628971,126.03,0.6780234678560255,0.0007226033816998,0.3736052327818391,1.0333042062549149e-05,8.267457806576672e-06,0.3918138306651263,27.24,84.48,0.0018631460461045,-0.20235,0.0094545454545455,0.5576103359303533,771.6685944903902,1,Priority1
2022,Kalimantan Utara,710000.0,75467.7,9.407998388714642,12148,271.25070422535214,0.0975788732394366,0.0338620978334608,109.0,0.5407305789989206,0.0004790527076137,0.2652943439784532,1.0453852795966334e-05,8.161176053622654e-06,0.414259778841393,26.98,84.86500000000001,0.0033599142414569,-0.267825,0.0189090909090908,0.7582001747861062,1582.7072109931005,1,Priority1
2022,Kepulauan Riau,2089900.0,8201.72,254.8124052028112,883,69.63491076128044,0.0178056366333317,0.054928517682468,106.79,0.2577638146347821,0.0004482070945176,0.3439784532512504,1.031125743744532e-05,8.402833846066216e-06,0.5339164878692855,27.33,67.13,0.0306886848124539,-0.2584999999999999,0.0061818181818182,0.6194395742342711,1382.0387535386017,0,Priority2
2022,Lampung,4438600.0,34623.8,128.1950565795782,337284,10.134276573694407,0.410977560492047,0.0206456104573873,104.3,0.6121343592558515,0.0036716397023436,0.4532512504809541,1.0406906423621187e-05,8.351134047512865e-06,0.1439181383066513,27.21,83.81,0.005385024174123,0.06775,0.0105454545454545,0.2039193877296869,55.53905183003759,2,Priority3
2022,Maluku,1869500.0,46914.03,39.84948639031863,17960,15.26450922706606,0.1117148970312918,0.040933488467855,104.85,0.3591611547283889,0.0001658915966596,0.4024624855713735,1.6782761183442574e-05,6.650775816297028e-06,0.3629311767618419,27.1,86.01,0.0067242144833858,-0.5772999999999999,0.0145454545454544,0.8746595517638032,5272.476541162089,1,Priority1
2022,Maluku Utara,1299600.0,31982.5,40.634722113655904,7187,41.378885811018776,0.1055709449061249,0.0514650145772594,106.44,0.0487387828384935,5.683311211026139e-05,0.3982300884955752,0.0,1.6519317732943684e-05,0.3701931011718106,26.37,84.66,0.0064053779410615,-0.0243,0.041090909090909,0.8323526707982959,14645.55854663486,1,Priority1
2022,Nanggroe Aceh Darussalam,5334900.0,57956.0,92.05086617433916,202811,7.266677913362949,0.1643091716808187,0.0404586953967325,107.46,0.7001310375897034,0.00090208538264,0.3559061177375914,1.0340114612650275e-05,7.10570672501909e-06,0.083182043241459,26.73,84.55,0.0037730347159914,-0.0933499999999999,0.0279999999999999,0.1930898600708981,214.0483193573,0,Priority2
2022,Nusa Tenggara Barat,5387200.0,18572.32,290.06607682831225,237341,5.322059697059697,0.1611373255123255,0.0301654572913294,105.7,0.5131635820549428,0.0012164993790003,0.3778376298576374,1.0275432014816843e-05,8.162333425820734e-06,0.1122297408813336,27.02,82.59,0.0077696270579012,0.2784999999999999,0.0174545454545454,0.2860576277178401,235.14819050126275,1,Priority1
2022,Nusa Tenggara Timur,5394400.0,48718.1,110.72681405884056,176693,4.014904345246923,0.2413460255079341,0.0296286168780344,95.41,0.7606239160977268,0.0004669833819935,0.3913043478260869,1.04772953184451e-05,8.77201071125544e-06,0.3185344116190791,26.89,80.38,0.00330903709299,0.1939499999999999,0.0221818181818181,0.4330445585439078,927.3232736789902,1,Priority1
2022,Papua,4356800.0,319036.05,13.656136978877466,1807,13.630187293426369,0.2885654608887256,0.0066456043562712,100.12,0.0654929509080207,0.0002746759795933,0.477106579453636,1.0485174551932984e-05,7.940161802499901e-06,0.3564944710348242,27.1,84.86,0.000788876366793,-0.2584,0.0145454545454544,0.8646736093044559,3147.976792818448,1,Priority1
2022,Papua Barat,1149400.0,102955.15,11.164084555265084,2604,67.98416565164433,0.1241656516443361,0.0254701645225482,100.62,0.6673123394228015,0.0003330208318173,0.3986148518661022,9.027804357186753e-06,8.19171885213521e-06,0.275623040105628,26.61,82.95,0.0025607266853576,-0.3181999999999999,0.0323636363636363,0.9547050308702828,2866.802733211492,1,Priority1
2022,Riau,6466800.0,87023.66,74.31082535485177,59181,23.390084740520813,0.1818005814313107,0.019440862556436,144.19,0.5133196134435577,0.0003407069036149,0.6752597152751059,1.035953492556363e-05,9.754713032994466e-06,0.3096220498432085,26.92,84.95,0.0030442295807829,-0.3246,0.021090909090909,0.5057499679657774,1484.4136194472214,0,Priority2
2022,Sulawesi Barat,1436700.0,16787.18,85.58316524871955,42906,25.777128140878403,0.2403097375930953,0.0358722444120688,117.72,0.7575915338497123,0.0007267160412183,0.107348980377068,9.410127757014664e-06,0.0,0.1584419871265885,27.38,84.47,0.0107486784558216,0.0978,0.0043636363636364,0.1521077233561599,209.30833328123703,1,Priority1
2022,Sulawesi Selatan,9156900.0,46717.48,196.005863329957,660638,7.137022354727036,0.1593851631010494,0.0398739545891191,100.39,0.5193852901227034,0.0025004775070649,0.3185840707964601,1.0395058947842983e-05,8.303038157131404e-06,0.1477141442482258,26.26,83.75,0.0076112838278092,-0.7778999999999999,0.045090909090909,0.0478618384480659,19.141079378972968,1,Priority1
